iter	RMSE
0	3751.290785
1	3517.937476
2	3304.810844
3	3107.832439
4	2925.133291
5	2758.611705
6	2602.863971
7	2464.383368
8	2333.318429
9	2212.051088
10	2103.560435
11	2002.44392
12	1909.983172
13	1825.267693
14	1748.190239
15	1673.648547
16	1607.136742
17	1545.146879
18	1490.29416
19	1433.254661
20	1386.334154
21	1345.232861
22	1301.316352
23	1263.972209
24	1226.111023
25	1195.235634
26	1163.782898
27	1135.855079
28	1107.188799
29	1080.697995
30	1061.264659
31	1041.49378
32	1018.970545
33	1000.447413
34	983.5550821
35	964.7716857
36	950.3987111
37	937.561881
38	924.0946157
39	911.7028814
40	900.444011
41	888.0111357
42	877.9756466
43	867.6463187
44	857.0176134
45	846.0454802
46	837.9180445
47	830.471877
48	822.0574011
49	815.1040002
50	806.7708509
51	798.7063182
52	792.4710275
53	786.5477717
54	779.5701949
55	775.0018774
56	770.1365102
57	762.9889696
58	756.8467398
59	752.1851771
60	747.0827658
61	741.3737465
62	736.4309506
63	732.6857487
64	726.5087344
65	723.4422478
66	718.5253593
67	715.329833
68	712.6075597
69	709.3340458
70	705.6360614
71	703.4677761
72	700.7787144
73	698.7700942
74	695.5559096
75	691.8873991
76	688.8290277
77	686.5558807
78	682.7652708
79	679.4952413
80	677.6490533
81	673.1365632
82	670.8258617
83	667.7967726
84	665.2346567
85	662.4304319
86	661.1186141
87	659.3289869
88	658.0453993
89	656.6353116
90	653.0780297
91	651.7461557
92	649.7650285
93	648.1136031
94	646.2748518
95	644.8066944
96	643.8533235
97	642.735062
98	641.7142357
99	639.8141629
100	637.4723388
101	636.6438042
102	634.5989914
103	633.5063147
104	632.5845156
105	630.0746879
106	628.738469
107	627.8229377
108	626.6677947
109	625.7171551
110	624.6547285
111	623.6349331
112	622.4028383
113	621.593724
114	619.906354
115	618.8049233
116	617.6336326
117	616.626908
118	615.0184344
119	614.2576679
120	613.1010415
121	611.9130867
122	611.1163412
123	609.9328915
124	609.2847122
125	608.629922
126	607.22012
127	606.5649291
128	605.8968066
129	604.9964164
130	603.8462397
131	603.1968559
132	602.0695087
133	601.4297087
134	600.6512008
135	600.2374648
136	599.4520835
137	598.4214112
138	597.630907
139	597.0295274
140	596.3074769
141	595.9345211
142	594.7850411
143	593.7982761
144	593.0066175
145	592.2439544
146	591.4727576
147	590.9005495
148	590.2374058
149	589.6293527
150	589.1343989
151	588.6680117
152	587.8102701
153	587.0022434
154	585.9393833
155	585.1932586
156	584.634256
157	584.245958
158	583.569201
159	583.2967703
160	582.7282717
161	582.3055978
162	581.8203518
163	581.3904207
164	580.7503793
165	580.2714456
166	579.8606322
167	579.3482152
168	578.7532647
169	577.3364326
170	576.7879852
171	576.1302637
172	575.7362176
173	574.5000731
174	573.9307297
175	573.5591901
176	573.00595
177	572.4303532
178	571.9713443
179	571.4533031
180	571.0013794
181	570.5556641
182	570.1499725
183	569.6467809
184	568.933865
185	568.4359193
186	567.8606732
187	567.3607304
188	566.8077166
189	566.3882006
190	565.999887
191	565.4126114
192	565.0938361
193	564.7542481
194	564.4384941
195	564.1932652
196	563.9072208
197	563.5813524
198	563.1862599
199	562.6965051
200	562.1188266
201	561.8640749
202	561.5966698
203	560.0988464
204	559.599947
205	559.4315554
206	558.8317132
207	558.3803676
208	557.9968646
209	557.6306414
210	557.1638563
211	556.9974061
212	556.8554005
213	556.697965
214	556.4108105
215	555.8076449
216	555.3333638
217	555.00032
218	554.82304
219	554.6790201
220	554.3002839
221	554.1615658
222	553.811581
223	553.4355076
224	552.9036146
225	552.461686
226	552.1558101
227	552.092823
228	551.7705523
229	551.4624059
230	550.7805659
231	550.4874338
232	550.1147505
233	549.8370318
234	549.7345992
235	549.3962068
236	549.0577983
237	548.9621902
238	548.7170939
239	548.6006012
240	548.1422268
241	547.8493786
242	547.8069434
243	547.5250958
244	547.4280129
245	547.1801796
246	546.8207438
247	546.7089593
248	546.5198841
249	546.1044405
250	545.9000506
251	545.4988016
252	545.2674615
253	544.7723733
254	544.5400442
255	544.1928693
256	543.8530665
257	543.5966683
258	543.3579653
259	543.0896755
260	542.9914808
261	542.7859064
262	542.4274609
263	542.2080251
264	541.8072802
265	541.5756678
266	541.287185
267	540.9897843
268	540.9010617
269	540.4215522
270	540.0433602
271	539.8829986
272	539.6510022
273	539.3844559
274	539.0590725
275	538.7154515
276	538.5547883
277	538.3630813
278	538.2493718
279	537.9527243
280	537.6533591
281	536.9671783
282	536.7445411
283	536.5737642
284	536.3959394
285	536.1869595
286	535.7960072
287	535.529739
288	535.3357932
289	535.1101152
290	534.892637
291	534.780791
292	534.5398413
293	534.3083884
294	534.1333282
295	533.9010799
296	533.7455608
297	533.5817236
298	533.3790615
299	533.0854552
300	532.9337852
301	532.699661
302	532.640425
303	532.4957248
304	532.3351722
305	532.1838438
306	532.0295042
307	531.8109204
308	531.7136914
309	531.5364256
310	531.3576942
311	531.2785589
312	531.0541963
313	530.9894247
314	530.729639
315	530.5299122
316	530.5002941
317	530.2659901
318	530.0993267
319	529.8114799
320	529.7664462
321	529.665255
322	529.1440755
323	528.9433368
324	528.8156062
325	528.4836052
326	528.1139885
327	528.0678644
328	527.8227975
329	527.7074764
330	527.4830467
331	527.4565695
332	527.2161998
333	527.2134502
334	526.8099345
335	526.5615019
336	526.2117929
337	526.1672174
338	525.9527626
339	525.6753592
340	525.6085438
341	525.3339547
342	525.0601304
343	524.7319932
344	524.5723705
345	524.3635099
346	524.3275616
347	524.1699824
348	523.8808036
349	523.5760348
350	523.3428078
351	523.2096027
352	523.0845847
353	522.8835955
354	522.8758887
355	522.6800917
356	522.4632985
357	522.2395478
358	521.7987477
359	521.5364193
360	521.4128361
361	521.3881447
362	521.1815319
363	520.9560931
364	520.7610581
365	520.7042719
366	520.5324887
367	520.4667564
368	520.3036451
369	520.163758
370	520.0686507
371	519.7771635
372	519.4345421
373	519.3711606
374	519.2567037
375	519.1396518
376	518.9648408
377	518.9362273
378	518.6466866
379	518.4891047
380	518.349032
381	518.0939687
382	517.9229279
383	517.6591064
384	517.6277848
385	517.6222561
386	517.4041309
387	517.2550221
388	517.0253396
389	516.7484978
390	516.5644326
391	516.2857162
392	516.1778639
393	516.1496357
394	516.0835464
395	515.9564613
396	515.6836354
397	515.3967331
398	515.3425423
399	515.2006587
400	514.9123644
401	514.7960553
402	514.6180305
403	514.3861502
404	514.1428347
405	513.8550636
406	513.6857286
407	513.6615903
408	513.548596
409	513.4164885
410	513.2662528
411	513.05667
412	512.8256273
413	512.6479584
414	512.4932082
415	512.3889885
416	512.1455628
417	512.0871544
418	511.9200504
419	511.6803542
420	511.4653012
421	511.2313419
422	511.0241735
423	510.9840559
424	510.9016138
425	510.8971493
426	510.6811595
427	510.5081952
428	510.4699158
429	510.4213962
430	510.4173469
431	510.1949485
432	510.0249397
433	509.8921299
434	509.6764888
435	509.4405288
436	509.3619675
437	509.112601
438	508.9472503
439	508.8535187
440	508.6780835
441	508.5649867
442	508.3427126
443	508.2585927
444	508.1301456
445	507.9685277
446	507.8603956
447	507.8588616
448	507.7372573
449	507.7340491
450	507.732631
451	507.6133667
452	507.4511044
453	507.3750458
454	507.1959851
455	507.0873488
456	506.9470822
457	506.8324576
458	506.6722695
459	506.5165845
460	506.3878206
461	506.2249459
462	506.0039003
463	506.0002091
464	505.8685175
465	505.6159879
466	505.4106867
467	505.291534
468	505.1502032
469	505.0321885
470	504.912566
471	504.7060456
472	504.4598311
473	504.2834931
474	504.1779948
475	504.022309
476	503.7699558
477	503.6346168
478	503.4282775
479	503.3330195
480	503.2981586
481	503.1531266
482	502.9718924
483	502.737632
484	502.6008232
485	502.5137536
486	502.3877178
487	502.1559717
488	502.0645929
489	501.9566512
490	501.7402275
491	501.5634316
492	501.4324011
493	501.3055275
494	501.1775597
495	501.008178
496	500.7999024
497	500.5700809
498	500.4162509
499	500.2589755
500	499.9950086
501	499.9065596
502	499.7721012
503	499.7707489
504	499.617595
505	499.4125636
506	499.2355866
507	499.1205791
508	498.8919726
509	498.8560408
510	498.6318754
511	498.4528107
512	498.3391694
513	498.1970969
514	498.0242876
515	498.0217166
516	498.019199
517	497.8905831
518	497.7404849
519	497.5600999
520	497.3600517
521	497.2835875
522	497.2821665
523	497.2074791
524	497.0243271
525	496.8374614
526	496.6327416
527	496.5238439
528	496.4043463
529	496.4019834
530	496.2408343
531	496.0664055
532	495.8650579
533	495.7097489
534	495.6508707
535	495.5709657
536	495.4197395
537	495.2519192
538	495.2505813
539	495.162987
540	495.045025
541	495.0066277
542	494.8960899
543	494.7170474
544	494.561767
545	494.5011661
546	494.3047096
547	494.3037841
548	494.1103866
549	493.9978344
550	493.7655713
551	493.5703377
552	493.3825237
553	493.1881016
554	493.0056809
555	492.8979346
556	492.7291266
557	492.5675389
558	492.3485718
559	492.1845466
560	491.9971185
561	491.8547617
562	491.8538343
563	491.8523357
564	491.693763
565	491.5684634
566	491.4048659
567	491.4041048
568	491.224324
569	491.1171528
570	490.8774104
571	490.7662329
572	490.7653658
573	490.714171
574	490.6104627
575	490.6094501
576	490.4686162
577	490.4105439
578	490.3366657
579	490.1846379
580	490.0197276
581	489.9151536
582	489.7510952
583	489.6841424
584	489.5613664
585	489.528339
586	489.3511483
587	489.2555773
588	489.1441098
589	488.9936636
590	488.8892663
591	488.7590845
592	488.6342262
593	488.568905
594	488.4729372
595	488.4122303
596	488.280102
597	488.2186169
598	488.1774058
599	488.0649187
600	487.9477458
601	487.7751959
602	487.6730591
603	487.570589
604	487.4706242
605	487.3407544
606	487.3399485
607	487.3389433
608	487.3382826
609	487.3102465
610	487.1126759
611	486.99142
612	486.8896483
613	486.8088273
614	486.7891942
615	486.6527207
616	486.4899838
617	486.4150367
618	486.1237513
619	486.1228277
620	486.012152
621	485.8810718
622	485.8101069
623	485.7257622
624	485.6085616
625	485.4897823
626	485.3904469
627	485.3170989
628	485.269176
629	485.1757833
630	484.9557101
631	484.8109345
632	484.6645354
633	484.6010106
634	484.4103235
635	484.3201337
636	484.1305136
637	483.9971176
638	483.8497638
639	483.8085041
640	483.6944652
641	483.5051342
642	483.4610392
643	483.3231345
644	483.2077669
645	483.1779182
646	483.1611758
647	482.9854703
648	482.8732609
649	482.7626993
650	482.5513225
651	482.49669
652	482.3324692
653	482.2332071
654	482.0924805
655	481.9349038
656	481.8126873
657	481.7927944
658	481.6696141
659	481.5800274
660	481.4996872
661	481.3749838
662	481.2185193
663	481.1033887
664	480.9914366
665	480.8960369
666	480.8357887
667	480.7421727
668	480.5184274
669	480.4043702
670	480.2949431
671	480.1316466
672	480.077507
673	479.9145205
674	479.8241035
675	479.6590554
676	479.5361322
677	479.3934002
678	479.2602572
679	479.1146519
680	479.1138306
681	479.0660547
682	479.0054259
683	478.9820812
684	478.9189104
685	478.852731
686	478.7363434
687	478.7169034
688	478.642229
689	478.5283026
690	478.4570326
691	478.3202736
692	478.2493557
693	478.1880559
694	478.046061
695	477.8959609
696	477.7553362
697	477.7156132
698	477.6196549
699	477.5617
700	477.4821759
701	477.4128885
702	477.3274815
703	477.2494269
704	477.1261608
705	477.006382
706	476.8125701
707	476.7662849
708	476.6854354
709	476.5826719
710	476.5293175
711	476.4653442
712	476.3698517
713	476.2441523
714	476.1601297
715	476.0389471
716	475.9464381
717	475.8812973
718	475.8029655
719	475.698823
720	475.5810287
721	475.4687093
722	475.2362361
723	475.2226253
724	475.101915
725	474.997585
726	474.8311064
727	474.7461833
728	474.6175086
729	474.4834878
730	474.3973247
731	474.2973332
732	474.1592885
733	474.0381194
734	473.8844505
735	473.7719379
736	473.7130972
737	473.6322412
738	473.5603414
739	473.4297549
740	473.276539
741	473.1007236
742	472.9606515
743	472.9199869
744	472.8324305
745	472.8222272
746	472.7008021
